id;удой;эке;протеин;спо;порода;Жирность,%
74;5381;12,9;1804;0,88;РефлешнСоверинг;3,61
75;5273;13,9;1703;0,88;РефлешнСоверинг;3,48
76;5281;12,8;1769;0,88;РефлешнСоверинг;3,48
77;6865;14,9;2189;0,93;Вис Бик Айдиал;3,71
78;5871;14,7;1795;0,94;Вис Бик Айдиал;3,61
79;6037;14,4;2106;0,94;РефлешнСоверинг;3,73
80;5813;12,8;1888;0,93;Вис Бик Айдиал;3,61
81;5640;14,9;1849;0,88;Вис Бик Айдиал;3,48
82;6618;15,9;2285;0,94;Вис Бик Айдиал;3,72
83;6474;15,7;1838;0,94;Вис Бик Айдиал;3,72
84;6240;12,9;1790;0,88;Вис Бик Айдиал;3,26
85;6686;16,7;2018;0,95;Вис Бик Айдиал;3,72
86;6398;15,9;2005;0,94;Вис Бик Айдиал;3,73
87;5564;13,4;1883;0,94;Вис Бик Айдиал;3,61
88;6153;14;1909;0,93;Вис Бик Айдиал;3,61
89;5533;14,6;1703;0,94;Вис Бик Айдиал;3,57
90;5776;13,9;1778;0,93;Вис Бик Айдиал;3,57
91;6572;15,7;1786;0,94;Вис Бик Айдиал;3,73
92;6036;16,2;2178;0,94;Вис Бик Айдиал;3,71
93;5931;15,6;1783;0,94;Вис Бик Айдиал;3,57
94;6372;14,1;1984;0,93;Вис Бик Айдиал;3,72
95;6403;14,3;1721;0,94;Вис Бик Айдиал;3,73
96;6976;16,4;2263;0,94;Вис Бик Айдиал;3,71
97;6267;15,2;2088;0,94;Вис Бик Айдиал;3,71
98;5062;12,1;1985;0,84;Вис Бик Айдиал;3,25
99;5639;14,7;1727;0,85;Вис Бик Айдиал;3,26
100;6059;15,2;2132;0,95;Вис Бик Айдиал;3,73
101;6724;15,1;1821;0,93;Вис Бик Айдиал;3,72
102;6013;15,7;1755;0,94;Вис Бик Айдиал;3,71
103;6248;15,9;2196;0,94;Вис Бик Айдиал;3,71
104;5591;12,7;1767;0,85;Вис Бик Айдиал;3,26
105;5700;14,4;1934;0,95;Вис Бик Айдиал;3,57
106;6750;15,5;1958;0,94;Вис Бик Айдиал;3,71
107;5417;13,2;1848;0,85;Вис Бик Айдиал;3,57
108;6392;14,9;1742;0,94;Вис Бик Айдиал;3,72
109;5617;13,5;1923;0,85;Вис Бик Айдиал;3,26
110;6414;13,9;1808;0,94;Вис Бик Айдиал;3,73
111;6763;16,3;2246;0,94;Вис Бик Айдиал;3,72
112;6862;15,6;2208;0,94;Вис Бик Айдиал;3,71
113;6345;15,8;1715;0,94;Вис Бик Айдиал;3,73
114;5601;13,3;1888;0,94;Вис Бик Айдиал;3,57
115;5412;12,1;1924;0,85;Вис Бик Айдиал;3,57
116;6576;16,2;1818;0,93;Вис Бик Айдиал;3,7
117;5442;13,4;1742;0,85;Вис Бик Айдиал;3,58
118;5895;14,1;1800;0,93;Вис Бик Айдиал;3,58
119;5998;14,2;1873;0,94;Вис Бик Айдиал;3,72
120;5882;14,6;1812;0,94;Вис Бик Айдиал;3,58
121;5084;11,8;1664;0,85;Вис Бик Айдиал;3,44
122;6350;15,7;1914;0,94;Вис Бик Айдиал;3,73
123;6109;15,8;2067;0,94;Вис Бик Айдиал;3,58
124;6605;14,7;1820;0,94;Вис Бик Айдиал;3,72
125;6209;14,4;2126;0,94;Вис Бик Айдиал;3,72
126;6232;15,8;1879;0,95;Вис Бик Айдиал;3,73
127;6572;16,6;2081;0,95;Вис Бик Айдиал;3,72
128;6623;15,5;2308;0,94;Вис Бик Айдиал;3,73
129;6463;16,1;2095;0,95;Вис Бик Айдиал;3,73
130;5292;12,7;1912;0,85;Вис Бик Айдиал;3,44
131;6607;15,3;2172;0,95;Вис Бик Айдиал;3,73
132;5906;14,7;1720;0,94;Вис Бик Айдиал;3,58
133;6267;13,9;2246;0,94;Вис Бик Айдиал;3,73
134;6730;16,5;1987;0,95;Вис Бик Айдиал;3,72
135;6162;15,7;1987;0,94;Вис Бик Айдиал;3,73
136;7207;16,6;2343;0,94;Вис Бик Айдиал;3,72
137;6081;14,7;2238;0,94;Вис Бик Айдиал;3,58
138;6707;14,6;2184;0,93;Вис Бик Айдиал;3,72
139;6454;16,3;1875;0,95;Вис Бик Айдиал;3,72
140;5833;14,1;1977;0,94;Вис Бик Айдиал;3,58
141;5397;13,1;1666;0,85;Вис Бик Айдиал;3,58
142;6502;16,1;1791;0,94;Вис Бик Айдиал;3,74
143;6553;15,1;2182;0,95;Вис Бик Айдиал;3,73
144;5976;13,7;1795;0,94;Вис Бик Айдиал;3,58
145;6373;14,2;1958;0,93;Вис Бик Айдиал;3,58
146;5263;12,3;1960;0,85;Вис Бик Айдиал;3,44
147;5340;13,8;1861;0,84;Вис Бик Айдиал;3,38
148;5072;12,3;1815;0,84;Вис Бик Айдиал;3,18
149;6075;15,2;1864;0,94;Вис Бик Айдиал;3,71
150;5675;14,1;1814;0,94;Вис Бик Айдиал;3,59
151;6221;14,7;2156;0,93;Вис Бик Айдиал;3,72
152;5894;14,8;2097;0,94;Вис Бик Айдиал;3,59
